month,day,hour,PM10,PM2.5,NO2,O3,Wind Speed,Wind Direction,Temperature,Relative Humidity,Air Pressure,datetime
1,4,0,81.4,40.82222222222222,65.0,10.0,0.1375,111.5,28.099999999999998,57.5,1012.125,2024-01-04 00:00:00
1,4,1,83.8,42.099999999999994,56.0,11.0,0.1625,121.875,27.8375,58.0,1012.125,2024-01-04 01:00:00
1,4,2,76.6,40.63333333333333,36.0,14.0,0.2625,119.375,27.2,60.5,1011.875,2024-01-04 02:00:00
1,4,3,69.8,40.94444444444444,42.0,9.0,0.1875,136.75,26.5875,62.375,1011.125,2024-01-04 03:00:00
1,4,4,65.4,38.86666666666667,47.0,9.0,0.2,128.0,25.9625,65.25,1010.75,2024-01-04 04:00:00
1,4,5,59.0,40.34444444444445,42.0,10.0,0.1625,143.875,25.8625,65.25,1011.0,2024-01-04 05:00:00
1,4,6,72.4,39.12222222222223,44.0,9.0,0.1625,133.0,25.7,65.625,1011.5,2024-01-04 06:00:00
1,4,7,82.0,39.74444444444444,37.0,11.0,0.475,120.0,25.9,63.375,1012.125,2024-01-04 07:00:00
1,4,8,77.4,37.82222222222222,37.0,10.0,0.4875,148.125,26.225,63.125,1013.125,2024-01-04 08:00:00
1,4,9,76.6,35.111111111111114,38.0,13.0,0.8375,116.5,27.8375,58.0,1014.125,2024-01-04 09:00:00
1,4,10,61.6,28.93333333333333,32.0,20.0,1.2125,121.375,29.1625,54.25,1014.875,2024-01-04 10:00:00
1,4,11,54.2,25.755555555555556,28.0,28.0,1.4,114.75,29.8625,53.25,1014.875,2024-01-04 11:00:00
1,4,12,61.2,24.98888888888889,34.0,32.0,1.3,117.625,30.475,54.125,1014.125,2024-01-04 12:00:00
1,4,13,56.8,26.58888888888889,34.0,38.0,1.1875,112.125,31.1875,53.5,1013.125,2024-01-04 13:00:00
1,4,14,52.6,25.87777777777778,33.0,41.0,1.025,100.0,31.8,52.125,1012.25,2024-01-04 14:00:00
1,4,15,53.0,26.544444444444444,32.0,40.0,0.95,91.375,32.0625,51.75,1011.5,2024-01-04 15:00:00
1,4,16,50.4,25.033333333333335,36.0,35.0,0.9375,102.75,32.1375,50.875,1011.0,2024-01-04 16:00:00
1,4,17,46.0,26.366666666666667,36.0,34.0,0.8875,111.625,31.912499999999998,51.375,1010.75,2024-01-04 17:00:00
1,4,18,51.4,27.27777777777778,40.0,25.0,0.6875,109.0,31.225,52.375,1011.125,2024-01-04 18:00:00
1,4,19,47.0,28.88888888888889,48.0,15.0,0.4125,93.75,30.4,55.0,1012.0,2024-01-04 19:00:00
1,4,20,61.6,31.377777777777776,50.0,11.0,0.3125,89.625,29.7375,57.125,1012.75,2024-01-04 20:00:00
1,4,21,63.6,32.855555555555554,52.0,10.0,0.3,96.25,29.2125,59.125,1013.125,2024-01-04 21:00:00
1,4,22,79.0,38.55555555555556,53.0,9.0,0.325,94.875,28.9875,60.75,1013.75,2024-01-04 22:00:00
1,4,23,76.6,38.900000000000006,48.0,10.0,0.3125,97.375,28.6375,62.125,1013.75,2024-01-04 23:00:00
1,5,0,74.4,37.422222222222224,39.0,15.0,0.3,133.25,28.1875,63.25,1013.25,2024-01-05 00:00:00
1,5,1,69.8,37.52222222222222,33.0,18.0,0.3,159.625,27.7375,64.0,1013.125,2024-01-05 01:00:00
1,5,2,64.6,35.13333333333333,29.0,18.0,0.3125,114.125,27.25,65.5,1013.0,2024-01-05 02:00:00
1,5,3,60.0,34.044444444444444,31.0,15.0,0.25,164.25,26.775,66.5,1012.625,2024-01-05 03:00:00
1,5,4,53.6,31.555555555555557,31.0,14.0,0.175,127.375,26.3875,67.25,1012.125,2024-01-05 04:00:00
1,5,5,53.2,32.388888888888886,36.0,10.0,0.2,111.125,25.9625,69.25,1012.125,2024-01-05 05:00:00
1,5,6,58.2,37.144444444444446,35.0,11.0,0.275,147.75,25.6375,72.0,1012.875,2024-01-05 06:00:00
1,5,7,79.2,42.955555555555556,38.0,10.0,0.2125,158.125,25.3875,73.625,1013.5,2024-01-05 07:00:00
1,5,8,84.0,43.95,36.0,11.0,0.33749999999999997,133.375,25.85,72.5,1014.0,2024-01-05 08:00:00
1,5,9,90.0,52.577777777777776,40.0,14.0,0.8625,131.375,27.55,63.25,1014.25,2024-01-05 09:00:00
1,5,10,66.0,30.28888888888889,35.0,22.0,1.0125,137.0,29.275,55.375,1014.75,2024-01-05 10:00:00
1,5,11,57.2,26.4,37.0,27.0,1.125,117.75,30.7875,50.0,1014.25,2024-01-05 11:00:00
1,5,12,56.8,23.733333333333334,35.0,34.0,0.9625,112.125,31.8375,46.375,1013.75,2024-01-05 12:00:00
1,5,13,46.6,24.61111111111111,32.0,45.0,1.0125,104.0,32.324999999999996,44.625,1012.625,2024-01-05 13:00:00
1,5,14,42.4,20.788888888888888,35.0,47.0,0.975,110.125,32.7875,43.625,1011.5,2024-01-05 14:00:00
1,5,15,39.8,23.533333333333335,35.0,40.0,0.8625,98.5,32.8625,42.875,1010.875,2024-01-05 15:00:00
1,5,16,42.0,22.77777777777778,35.0,40.0,0.775,121.875,32.675,43.5,1010.625,2024-01-05 16:00:00
1,5,17,43.6,23.577777777777776,40.0,34.0,0.6625,125.0,32.45,44.125,1010.875,2024-01-05 17:00:00
1,5,18,47.8,25.51111111111111,43.0,33.0,0.625,166.5,31.712500000000002,47.0,1011.125,2024-01-05 18:00:00
1,5,19,58.6,32.17777777777778,54.0,19.0,0.4875,136.5,30.85,49.875,1012.125,2024-01-05 19:00:00
1,5,20,76.0,40.51111111111111,60.0,11.0,0.275,102.75,30.025,53.375,1013.0,2024-01-05 20:00:00
1,5,21,86.4,42.01111111111111,61.0,9.0,0.3125,95.625,29.525,56.75,1013.75,2024-01-05 21:00:00
1,5,22,93.4,46.955555555555556,63.0,9.0,0.2625,99.125,28.9875,59.5,1014.0,2024-01-05 22:00:00
1,5,23,110.0,52.03333333333333,66.0,9.0,0.275,107.375,28.5125,61.625,1014.0,2024-01-05 23:00:00
1,6,0,100.2,52.15555555555555,58.0,11.0,0.3,131.625,28.0125,63.0,1014.0,2024-01-06 00:00:00
1,6,1,88.0,43.74444444444444,44.0,13.0,0.475,95.0,27.7125,62.25,1013.875,2024-01-06 01:00:00
1,6,2,73.2,39.544444444444444,35.0,16.0,0.3,147.375,27.0,63.625,1013.5,2024-01-06 02:00:00
1,6,3,66.0,40.01111111111111,38.0,12.0,0.2625,136.375,26.3375,66.125,1012.875,2024-01-06 03:00:00
1,6,4,66.4,38.34444444444445,34.0,14.0,0.2875,119.5,25.9125,68.0,1012.75,2024-01-06 04:00:00
1,6,5,66.4,41.833333333333336,32.0,12.0,0.3,101.0,25.7,68.5,1012.75,2024-01-06 05:00:00
1,6,6,67.4,43.67777777777778,34.0,11.0,0.275,155.75,25.55,68.125,1013.125,2024-01-06 06:00:00
1,6,7,78.2,44.766666666666666,38.0,11.0,0.3375,130.5,25.575,66.625,1013.625,2024-01-06 07:00:00
1,6,8,77.2,39.611111111111114,46.0,11.0,0.3875,143.125,25.9125,65.125,1014.125,2024-01-06 08:00:00
1,6,9,76.0,36.388888888888886,44.0,15.0,0.775,110.625,27.55,57.875,1015.125,2024-01-06 09:00:00
1,6,10,71.2,28.95555555555556,35.0,26.0,1.0625,120.5,29.075,51.75,1015.25,2024-01-06 10:00:00
1,6,11,55.4,24.688888888888886,36.0,35.0,1.025,105.375,30.5375,47.375,1015.125,2024-01-06 11:00:00
1,6,12,54.6,23.466666666666665,35.0,44.0,0.9750000000000001,112.875,31.7875,43.875,1014.125,2024-01-06 12:00:00
1,6,13,52.0,23.1,35.0,52.0,0.7875,97.125,32.3875,42.25,1012.875,2024-01-06 13:00:00
1,6,14,44.0,21.466666666666665,32.0,57.0,0.75,103.375,32.925,41.125,1011.75,2024-01-06 14:00:00
1,6,15,53.0,24.37777777777778,33.0,57.0,0.7,113.5,33.4,40.75,1010.875,2024-01-06 15:00:00
1,6,16,51.4,25.72222222222222,39.0,52.0,0.6125,127.125,33.35,41.5,1010.125,2024-01-06 16:00:00
1,6,17,52.2,27.211111111111112,39.0,51.0,0.6,91.625,32.85,42.625,1010.25,2024-01-06 17:00:00
1,6,18,58.2,29.099999999999998,44.0,41.0,0.4625,119.75,32.0375,46.25,1011.0,2024-01-06 18:00:00
1,6,19,63.8,38.72222222222222,52.0,26.0,0.3125,182.625,30.9375,50.125,1012.0,2024-01-06 19:00:00
1,6,20,86.6,40.78888888888889,64.0,10.0,0.3,156.875,30.0375,53.875,1013.0,2024-01-06 20:00:00
1,6,21,92.6,47.98888888888889,71.0,9.0,0.2625,174.25,29.3875,56.5,1013.625,2024-01-06 21:00:00
1,6,22,113.2,52.52222222222222,70.0,9.0,0.2125,134.125,28.875,59.375,1014.0,2024-01-06 22:00:00
1,6,23,116.8,57.775000000000006,70.0,9.0,0.21250000000000002,92.625,28.4625,60.875,1014.125,2024-01-06 23:00:00
1,7,0,104.0,76.85555555555555,68.0,9.0,0.1875,110.25,27.975,63.125,1014.375,2024-01-07 00:00:00
1,7,1,105.8,55.71111111111111,62.0,11.0,0.325,136.875,27.6375,64.25,1014.25,2024-01-07 01:00:00
1,7,2,97.4,51.52222222222222,43.0,13.0,0.225,140.125,27.0625,65.625,1013.875,2024-01-07 02:00:00
1,7,3,88.4,49.43333333333333,34.0,13.0,0.17500000000000002,110.71428571428571,26.6625,66.25,1013.125,2024-01-07 03:00:00
1,7,4,83.4,47.41111111111111,36.0,11.0,0.1875,131.625,26.25,68.25,1013.0,2024-01-07 04:00:00
1,7,5,78.4,46.333333333333336,28.0,17.0,0.2125,120.0,25.9375,69.25,1013.125,2024-01-07 05:00:00
1,7,6,76.2,46.81111111111111,30.0,13.0,0.25,142.75,25.6375,69.875,1013.125,2024-01-07 06:00:00
1,7,7,75.0,47.97777777777778,34.0,12.0,0.275,170.875,25.4625,69.125,1013.875,2024-01-07 07:00:00
1,7,8,83.0,48.15555555555555,43.0,11.0,0.45,117.375,25.9625,66.0,1014.75,2024-01-07 08:00:00
1,7,9,88.8,44.03333333333333,37.0,18.0,0.85,114.25,27.6,59.375,1015.625,2024-01-07 09:00:00
1,7,10,73.0,35.166666666666664,29.0,33.0,1.0,108.625,28.825,54.25,1016.0,2024-01-07 10:00:00
1,7,11,59.4,29.755555555555556,31.0,40.0,0.8875,104.875,30.3875,49.125,1015.875,2024-01-07 11:00:00
1,7,12,61.6,27.0,26.0,47.0,0.875,102.0,31.587500000000002,45.375,1015.0,2024-01-07 12:00:00
1,7,13,49.8,25.744444444444444,24.0,55.0,1.025,120.875,32.275,43.75,1014.0,2024-01-07 13:00:00
1,7,14,47.6,23.788888888888888,24.0,55.0,0.9375,112.625,32.1625,46.75,1012.75,2024-01-07 14:00:00
